timestamp,time_s,mode,distance_cm,b_uT,emi_mv,pwm_freq_hz,duty_pct,throughput_mbps,packet_loss_pct,delay_ms,jitter_ms,jitter_us
2026-05-29T11:59:49,17.5,ЭМП-режим A,7.78,23.58,408.02,12963,50,98.941,0.565,8.853,0.0014,1.4
2026-05-29T11:59:49,18.0,ЭМП-режим A,7.69,24.4,422.16,14160,50,98.703,0.531,8.831,0.0013,1.3
2026-05-29T11:59:50,18.5,ЭМП-режим A,7.59,24.59,425.43,15517,50,98.952,0.44,8.876,0.0015,1.5
2026-05-29T11:59:50,19.0,ЭМП-режим A,7.47,24.97,432.06,17016,50,98.667,0.521,8.829,0.0015,1.5
2026-05-29T11:59:51,19.5,ЭМП-режим A,7.35,26.58,459.77,18640,50,98.898,0.665,8.841,0.0017,1.7
2026-05-29T11:59:51,20.0,ЭМП-режим A,7.22,26.65,461.07,20370,50,98.586,0.803,8.872,0.0018,1.8
2026-05-29T11:59:52,20.5,ЭМП-режим A,7.09,26.43,457.2,22190,50,98.953,0.674,8.827,0.0018,1.8
2026-05-29T11:59:52,21.0,ЭМП-режим A,6.94,28.05,485.23,24080,50,98.391,0.633,8.865,0.002,2.0
2026-05-29T11:59:53,21.5,ЭМП-режим A,6.8,28.18,487.44,26024,50,98.638,0.709,8.813,0.0018,1.8
2026-05-29T11:59:53,22.0,ЭМП-режим A,6.65,28.14,486.85,28003,50,98.722,0.992,8.901,0.002,2.0
2026-05-29T11:59:54,22.5,ЭМП-режим B,6.5,30.41,526.12,30000,50,98.589,0.968,8.805,0.0017,1.7
2026-05-29T11:59:54,23.0,ЭМП-режим B,6.35,30.8,532.89,31997,50,98.459,0.794,8.842,0.0019,1.9
2026-05-29T11:59:55,23.5,ЭМП-режим B,6.2,30.22,522.82,33976,50,98.353,0.581,8.89,0.0017,1.7
2026-05-29T11:59:56,24.0,ЭМП-режим B,6.06,31.78,549.8,35920,50,98.693,0.776,8.804,0.0019,1.9
2026-05-29T11:59:56,24.5,ЭМП-режим B,5.91,32.14,556.03,37810,50,98.133,1.002,8.871,0.0018,1.8
2026-05-29T11:59:57,25.0,ЭМП-режим B,5.78,31.92,552.19,39630,50,98.645,1.142,8.828,0.0019,1.9
2026-05-29T11:59:57,25.5,ЭМП-режим B,5.65,33.63,581.84,41360,50,98.211,0.996,8.876,0.002,2.0
2026-05-29T11:59:58,26.0,ЭМП-режим B,5.53,34.38,594.86,42984,50,98.418,0.972,8.823,0.0019,1.9
2026-05-29T11:59:58,26.5,ЭМП-режим B,5.41,34.24,592.28,44483,50,98.091,1.035,8.848,0.0021,2.1
2026-05-29T11:59:59,27.0,ЭМП-режим B,5.31,35.08,606.93,45840,50,98.452,1.17,8.866,0.002,2.0
2026-05-29T11:59:59,27.5,ЭМП-режим B,5.22,35.49,613.94,47037,50,98.192,1.145,8.829,0.0022,2.2
2026-05-29T12:00:00,28.0,ЭМП-режим B,5.15,35.54,614.91,48056,50,98.235,1.105,8.855,0.0022,2.2
2026-05-29T12:00:00,28.5,ЭМП-режим B,5.08,36.03,623.28,48880,50,98.198,1.091,8.845,0.0023,2.3
2026-05-29T12:00:01,29.0,ЭМП-режим B,5.04,36.28,627.56,49490,50,98.208,1.131,8.848,0.0023,2.3
2026-05-29T12:00:01,29.5,ЭМП-режим B,5.01,36.35,628.9,49870,50,98.193,1.147,8.847,0.0023,2.3
2026-05-29T12:00:02,30.0,ЭМП-режим B,5.0,36.4,629.72,50000,50,98.192,1.148,8.847,0.0023,2.3
